respondent,years_coding,years_coding_prof
69381,18-20 years,6-8 years
69382,6-8 years,6-8 years
69384,30 or more years,30 or more years
69385,12-14 years,6-8 years
69386,0-2 years,0-2 years
69387,3-5 years,NA
69388,0-2 years,0-2 years
69389,15-17 years,9-11 years
69390,24-26 years,6-8 years
69392,18-20 years,18-20 years
69393,12-14 years,3-5 years
69394,0-2 years,0-2 years
69395,12-14 years,3-5 years
69396,0-2 years,0-2 years
69398,3-5 years,0-2 years
69399,30 or more years,30 or more years
69400,21-23 years,NA
69401,12-14 years,12-14 years
69403,18-20 years,3-5 years
69404,12-14 years,9-11 years
69405,3-5 years,0-2 years
69406,9-11 years,3-5 years
69408,6-8 years,6-8 years
69409,3-5 years,0-2 years
69410,3-5 years,3-5 years
69411,6-8 years,0-2 years
69412,21-23 years,18-20 years
69413,15-17 years,3-5 years
69414,18-20 years,NA
69416,12-14 years,0-2 years
69417,15-17 years,6-8 years
69420,6-8 years,3-5 years
69421,18-20 years,12-14 years
69423,9-11 years,NA
69424,3-5 years,0-2 years
69425,15-17 years,12-14 years
69426,15-17 years,12-14 years
69427,3-5 years,3-5 years
69428,6-8 years,NA
69429,9-11 years,NA
69430,6-8 years,3-5 years
69432,30 or more years,27-29 years
69433,15-17 years,21-23 years
69434,3-5 years,3-5 years
69436,0-2 years,0-2 years
69437,3-5 years,0-2 years
69438,24-26 years,18-20 years
69440,6-8 years,6-8 years
69441,3-5 years,3-5 years
69444,3-5 years,3-5 years
69445,0-2 years,0-2 years
69446,9-11 years,9-11 years
69447,6-8 years,0-2 years
69448,3-5 years,0-2 years
69449,3-5 years,3-5 years
69450,18-20 years,12-14 years
69451,3-5 years,3-5 years
69452,3-5 years,3-5 years
69453,0-2 years,NA
69454,3-5 years,3-5 years
69455,6-8 years,NA
69457,3-5 years,3-5 years
69458,0-2 years,NA
69459,6-8 years,3-5 years
69461,3-5 years,3-5 years
69462,0-2 years,0-2 years
69463,6-8 years,NA
69464,0-2 years,0-2 years
69466,12-14 years,NA
69467,30 or more years,15-17 years
69468,0-2 years,0-2 years
69469,9-11 years,6-8 years
69470,6-8 years,NA
69471,9-11 years,9-11 years
69472,12-14 years,12-14 years
69473,6-8 years,0-2 years
69477,18-20 years,18-20 years
69478,18-20 years,6-8 years
69480,6-8 years,3-5 years
69481,3-5 years,3-5 years
69482,12-14 years,12-14 years
69484,3-5 years,0-2 years
69485,3-5 years,3-5 years
69486,3-5 years,3-5 years
69487,9-11 years,6-8 years
69488,15-17 years,15-17 years
69491,3-5 years,NA
69493,27-29 years,18-20 years
69494,12-14 years,12-14 years
69495,3-5 years,0-2 years
69496,6-8 years,3-5 years
69498,12-14 years,3-5 years
69499,3-5 years,3-5 years
69500,9-11 years,3-5 years
69501,6-8 years,NA
69502,3-5 years,3-5 years
69503,3-5 years,3-5 years
69504,6-8 years,6-8 years
69505,15-17 years,3-5 years
69506,3-5 years,0-2 years
69507,18-20 years,12-14 years
69508,3-5 years,0-2 years
69509,3-5 years,3-5 years
69510,3-5 years,NA
69511,6-8 years,6-8 years
69513,6-8 years,3-5 years
69515,24-26 years,24-26 years
69516,0-2 years,NA
69518,3-5 years,0-2 years
69519,30 or more years,21-23 years
69520,12-14 years,6-8 years
69522,0-2 years,NA
69524,9-11 years,9-11 years
69526,3-5 years,3-5 years
69527,3-5 years,NA
69528,3-5 years,3-5 years
69530,3-5 years,3-5 years
69531,3-5 years,0-2 years
69533,3-5 years,0-2 years
69535,6-8 years,0-2 years
69537,6-8 years,6-8 years
69538,3-5 years,NA
69539,12-14 years,6-8 years
69541,21-23 years,12-14 years
69542,18-20 years,6-8 years
69543,3-5 years,NA
69544,6-8 years,6-8 years
69545,3-5 years,NA
69546,12-14 years,0-2 years
69547,15-17 years,9-11 years
69548,15-17 years,9-11 years
69549,3-5 years,0-2 years
69550,3-5 years,3-5 years
69551,3-5 years,0-2 years
69552,9-11 years,6-8 years
69553,3-5 years,NA
69554,9-11 years,6-8 years
69555,3-5 years,3-5 years
69556,12-14 years,6-8 years
69559,3-5 years,NA
69560,3-5 years,0-2 years
69561,3-5 years,3-5 years
69562,30 or more years,30 or more years
69563,30 or more years,30 or more years
69564,6-8 years,NA
69566,0-2 years,0-2 years
69567,6-8 years,3-5 years
69568,21-23 years,NA
69570,9-11 years,0-2 years
69571,6-8 years,0-2 years
69572,6-8 years,3-5 years
69573,3-5 years,3-5 years
69574,3-5 years,NA
69575,18-20 years,18-20 years
69582,9-11 years,6-8 years
69583,6-8 years,3-5 years
69586,3-5 years,NA
69587,6-8 years,0-2 years
69588,9-11 years,3-5 years
69590,0-2 years,0-2 years
69592,6-8 years,3-5 years
69593,3-5 years,3-5 years
69594,9-11 years,9-11 years
69596,18-20 years,18-20 years
69599,0-2 years,NA
69601,0-2 years,NA
69602,3-5 years,0-2 years
69604,30 or more years,12-14 years
69605,3-5 years,0-2 years
69606,6-8 years,0-2 years
69607,3-5 years,0-2 years
69609,0-2 years,0-2 years
69610,12-14 years,9-11 years
69612,3-5 years,0-2 years
69614,12-14 years,9-11 years
69615,15-17 years,3-5 years
69616,6-8 years,NA
69618,3-5 years,0-2 years
69619,3-5 years,3-5 years
69620,3-5 years,NA
69621,3-5 years,3-5 years
69622,15-17 years,9-11 years
69623,18-20 years,15-17 years
69624,6-8 years,NA
69625,0-2 years,NA
69626,12-14 years,6-8 years
69627,3-5 years,NA
69628,27-29 years,NA
69629,21-23 years,NA
69631,12-14 years,12-14 years
69632,3-5 years,3-5 years
69633,12-14 years,NA
69635,18-20 years,9-11 years
69637,3-5 years,0-2 years
69638,27-29 years,21-23 years
69640,12-14 years,3-5 years
69641,12-14 years,9-11 years
69642,9-11 years,3-5 years
69645,3-5 years,0-2 years
69647,9-11 years,6-8 years
69648,0-2 years,0-2 years
69649,6-8 years,3-5 years
69651,3-5 years,0-2 years
69652,0-2 years,0-2 years
69653,15-17 years,6-8 years
69655,3-5 years,NA
69656,3-5 years,3-5 years
69658,3-5 years,3-5 years
69659,9-11 years,0-2 years
69661,9-11 years,6-8 years
69662,15-17 years,12-14 years
69664,3-5 years,0-2 years
69666,3-5 years,0-2 years
69667,3-5 years,3-5 years
69669,12-14 years,0-2 years
69670,6-8 years,3-5 years
69671,15-17 years,15-17 years
69673,3-5 years,NA
69674,3-5 years,3-5 years
69675,6-8 years,3-5 years
69676,18-20 years,12-14 years
69677,0-2 years,0-2 years
69678,9-11 years,0-2 years
69680,0-2 years,0-2 years
69681,3-5 years,0-2 years
69682,3-5 years,NA
69683,0-2 years,NA
69684,3-5 years,0-2 years
69685,24-26 years,18-20 years
69686,6-8 years,3-5 years
69688,3-5 years,0-2 years
69690,30 or more years,30 or more years
69691,9-11 years,9-11 years
69693,3-5 years,3-5 years
69694,6-8 years,0-2 years
69696,0-2 years,0-2 years
69697,24-26 years,24-26 years
69698,9-11 years,9-11 years
69700,18-20 years,15-17 years
69702,6-8 years,6-8 years
69703,3-5 years,3-5 years
69704,9-11 years,6-8 years
69705,12-14 years,9-11 years
69706,9-11 years,6-8 years
69707,6-8 years,0-2 years
69708,12-14 years,9-11 years
69709,6-8 years,NA
69710,15-17 years,15-17 years
69711,3-5 years,3-5 years
69714,3-5 years,3-5 years
69715,6-8 years,3-5 years
69716,0-2 years,0-2 years
69718,30 or more years,30 or more years
69719,6-8 years,3-5 years
69720,6-8 years,6-8 years
69721,30 or more years,24-26 years
69722,3-5 years,3-5 years
69724,6-8 years,3-5 years
69725,12-14 years,3-5 years
69726,30 or more years,18-20 years
69727,9-11 years,6-8 years
69730,12-14 years,6-8 years
69731,3-5 years,0-2 years
69733,6-8 years,6-8 years
69734,12-14 years,6-8 years
69735,15-17 years,6-8 years
69736,9-11 years,NA
69737,3-5 years,3-5 years
69738,12-14 years,6-8 years
69739,6-8 years,0-2 years
69740,9-11 years,3-5 years
69741,15-17 years,9-11 years
69742,12-14 years,6-8 years
69743,15-17 years,6-8 years
69744,9-11 years,3-5 years
69745,0-2 years,0-2 years
69747,3-5 years,0-2 years
69748,0-2 years,0-2 years
69749,3-5 years,0-2 years
69750,6-8 years,3-5 years
69751,3-5 years,0-2 years
69755,3-5 years,0-2 years
69756,27-29 years,24-26 years
69757,6-8 years,3-5 years
69758,3-5 years,0-2 years
69759,0-2 years,0-2 years
69760,30 or more years,15-17 years
69761,9-11 years,3-5 years
69762,0-2 years,0-2 years
69763,0-2 years,0-2 years
69769,3-5 years,0-2 years
69770,3-5 years,0-2 years
69772,15-17 years,9-11 years
69774,6-8 years,3-5 years
69775,12-14 years,6-8 years
69776,6-8 years,3-5 years
69778,18-20 years,9-11 years
69779,6-8 years,0-2 years
69781,0-2 years,3-5 years
69782,6-8 years,0-2 years
69783,21-23 years,NA
69784,9-11 years,3-5 years
69785,3-5 years,0-2 years
69788,30 or more years,24-26 years
69789,3-5 years,NA
69790,6-8 years,3-5 years
69792,6-8 years,3-5 years
69793,9-11 years,9-11 years
69794,3-5 years,3-5 years
69795,9-11 years,3-5 years
69798,0-2 years,0-2 years
69799,21-23 years,18-20 years
69800,9-11 years,3-5 years
69802,18-20 years,12-14 years
69803,3-5 years,0-2 years
69804,3-5 years,3-5 years
69809,12-14 years,12-14 years
69811,12-14 years,NA
69815,3-5 years,3-5 years
69816,3-5 years,0-2 years
69817,18-20 years,9-11 years
69818,30 or more years,30 or more years
69819,15-17 years,12-14 years
69820,21-23 years,3-5 years
69822,18-20 years,18-20 years
69823,6-8 years,3-5 years
69824,0-2 years,0-2 years
69826,6-8 years,NA
69827,12-14 years,3-5 years
69828,9-11 years,6-8 years
69830,6-8 years,0-2 years
69831,3-5 years,3-5 years
69832,6-8 years,3-5 years
69833,9-11 years,NA
69835,6-8 years,3-5 years
69836,6-8 years,0-2 years
69839,6-8 years,3-5 years
69840,6-8 years,3-5 years
69841,12-14 years,12-14 years
69842,3-5 years,0-2 years
69843,3-5 years,3-5 years
69846,3-5 years,0-2 years
69847,6-8 years,6-8 years
69850,3-5 years,NA
69851,3-5 years,0-2 years
69853,6-8 years,3-5 years
69854,15-17 years,9-11 years
69856,9-11 years,9-11 years
69857,18-20 years,9-11 years
69859,6-8 years,3-5 years
69861,0-2 years,0-2 years
69862,15-17 years,9-11 years
69864,3-5 years,3-5 years
69865,3-5 years,3-5 years
69867,12-14 years,6-8 years
69869,6-8 years,3-5 years
69870,9-11 years,3-5 years
69872,12-14 years,3-5 years
69874,15-17 years,9-11 years
69875,3-5 years,3-5 years
69876,NA,NA
69878,6-8 years,3-5 years
69879,6-8 years,6-8 years
69880,6-8 years,0-2 years
69882,12-14 years,9-11 years
69883,9-11 years,6-8 years
69884,6-8 years,6-8 years
69885,6-8 years,6-8 years
69886,3-5 years,3-5 years
69888,3-5 years,3-5 years
69890,9-11 years,9-11 years
69891,6-8 years,3-5 years
69892,12-14 years,6-8 years
69893,12-14 years,6-8 years
69894,24-26 years,15-17 years
69895,18-20 years,NA
69896,3-5 years,3-5 years
69897,12-14 years,0-2 years
69898,12-14 years,NA
69899,3-5 years,NA
69900,12-14 years,3-5 years
69901,6-8 years,6-8 years
69902,3-5 years,NA
69904,18-20 years,12-14 years
69905,21-23 years,21-23 years
69907,30 or more years,30 or more years
69909,6-8 years,6-8 years
69910,6-8 years,9-11 years
69911,21-23 years,15-17 years
69913,6-8 years,3-5 years
69915,6-8 years,NA
69916,9-11 years,9-11 years
69918,9-11 years,3-5 years
69919,21-23 years,18-20 years
69921,9-11 years,NA
69922,6-8 years,NA
69924,6-8 years,NA
69925,6-8 years,0-2 years
69926,15-17 years,15-17 years
69928,9-11 years,NA
69929,12-14 years,6-8 years
69930,3-5 years,3-5 years
69931,15-17 years,9-11 years
69932,3-5 years,3-5 years
69936,9-11 years,9-11 years
69938,12-14 years,6-8 years
69939,9-11 years,6-8 years
69940,18-20 years,15-17 years
69943,12-14 years,9-11 years
69944,6-8 years,3-5 years
69945,9-11 years,3-5 years
69947,6-8 years,3-5 years
69948,12-14 years,6-8 years
69950,9-11 years,3-5 years
69951,21-23 years,9-11 years
69953,3-5 years,0-2 years
69954,12-14 years,NA
69955,6-8 years,NA
69956,9-11 years,3-5 years
69957,3-5 years,NA
69959,30 or more years,NA
69960,3-5 years,0-2 years
69963,18-20 years,9-11 years
69964,9-11 years,3-5 years
69966,6-8 years,3-5 years
69967,6-8 years,3-5 years
69968,3-5 years,NA
69969,9-11 years,6-8 years
69970,27-29 years,21-23 years
69971,12-14 years,9-11 years
69972,0-2 years,NA
69974,12-14 years,9-11 years
69975,12-14 years,NA
69976,12-14 years,6-8 years
69978,6-8 years,3-5 years
69980,21-23 years,21-23 years
69981,6-8 years,0-2 years
69982,12-14 years,6-8 years
69983,6-8 years,3-5 years
69984,6-8 years,3-5 years
69986,9-11 years,3-5 years
69987,24-26 years,6-8 years
69988,15-17 years,15-17 years
69989,3-5 years,0-2 years
69992,6-8 years,3-5 years
69993,6-8 years,0-2 years
69994,6-8 years,6-8 years
69995,6-8 years,3-5 years
69996,21-23 years,18-20 years
69997,3-5 years,3-5 years
69998,6-8 years,3-5 years
69999,6-8 years,6-8 years
70000,9-11 years,3-5 years
70001,15-17 years,9-11 years
70004,6-8 years,6-8 years
70006,27-29 years,30 or more years
70007,3-5 years,3-5 years
70008,3-5 years,0-2 years
70010,15-17 years,12-14 years
70013,15-17 years,12-14 years
70014,12-14 years,9-11 years
70022,0-2 years,NA
70024,3-5 years,3-5 years
70027,12-14 years,3-5 years
70028,12-14 years,0-2 years
70029,9-11 years,NA
70030,3-5 years,0-2 years
70031,0-2 years,0-2 years
70032,9-11 years,NA
70034,15-17 years,3-5 years
70035,12-14 years,6-8 years
70038,6-8 years,3-5 years
70039,6-8 years,3-5 years
70040,9-11 years,9-11 years
70042,3-5 years,0-2 years
70043,3-5 years,0-2 years
70045,6-8 years,6-8 years
70047,0-2 years,0-2 years
70050,12-14 years,12-14 years
70051,9-11 years,6-8 years
70052,0-2 years,0-2 years
70053,3-5 years,0-2 years
70054,0-2 years,0-2 years
70055,3-5 years,3-5 years
70057,6-8 years,0-2 years
70058,12-14 years,6-8 years
70059,0-2 years,0-2 years
70060,24-26 years,18-20 years
70061,3-5 years,0-2 years
70062,12-14 years,9-11 years
70063,15-17 years,9-11 years
70065,3-5 years,0-2 years
70068,18-20 years,NA
70069,24-26 years,9-11 years
70070,6-8 years,6-8 years
70072,9-11 years,0-2 years
70073,3-5 years,NA
70075,0-2 years,NA
70076,0-2 years,0-2 years
70078,9-11 years,NA
70080,9-11 years,NA
70081,6-8 years,0-2 years
70082,9-11 years,6-8 years
70085,3-5 years,0-2 years
70086,18-20 years,12-14 years
70087,3-5 years,3-5 years
70089,6-8 years,0-2 years
70090,18-20 years,12-14 years
70091,6-8 years,3-5 years
70093,30 or more years,24-26 years
70094,6-8 years,3-5 years
70095,9-11 years,NA
70096,3-5 years,NA
70097,3-5 years,3-5 years
70098,3-5 years,3-5 years
70099,3-5 years,0-2 years
70100,12-14 years,9-11 years
70101,6-8 years,NA
70102,12-14 years,12-14 years
70103,18-20 years,18-20 years
70104,12-14 years,NA
70105,6-8 years,0-2 years
70106,3-5 years,NA
70107,3-5 years,3-5 years
70108,9-11 years,3-5 years
70109,6-8 years,3-5 years
70110,6-8 years,3-5 years
70112,9-11 years,9-11 years
70113,9-11 years,6-8 years
70114,30 or more years,15-17 years
70116,6-8 years,6-8 years
70118,6-8 years,0-2 years
70119,15-17 years,12-14 years
70120,21-23 years,NA
70121,30 or more years,21-23 years
70122,3-5 years,3-5 years
70123,3-5 years,3-5 years
70124,24-26 years,21-23 years
70125,0-2 years,NA
70126,6-8 years,6-8 years
70127,3-5 years,0-2 years
70128,3-5 years,3-5 years
70129,12-14 years,NA
70132,24-26 years,3-5 years
70134,3-5 years,3-5 years
70136,3-5 years,3-5 years
70137,24-26 years,18-20 years
70138,12-14 years,NA
70140,6-8 years,3-5 years
70141,3-5 years,3-5 years
70142,6-8 years,NA
70144,6-8 years,3-5 years
70145,6-8 years,0-2 years
70146,12-14 years,3-5 years
70147,6-8 years,3-5 years
70148,3-5 years,NA
70149,3-5 years,3-5 years
70150,15-17 years,15-17 years
70151,0-2 years,0-2 years
70152,12-14 years,9-11 years
70153,15-17 years,12-14 years
70154,12-14 years,12-14 years
70158,12-14 years,9-11 years
70159,6-8 years,3-5 years
70161,27-29 years,9-11 years
70162,3-5 years,0-2 years
70163,3-5 years,3-5 years
70164,12-14 years,NA
70165,3-5 years,0-2 years
70166,12-14 years,12-14 years
70167,6-8 years,3-5 years
70168,18-20 years,15-17 years
70171,6-8 years,3-5 years
70172,3-5 years,3-5 years
70173,6-8 years,NA
70174,6-8 years,0-2 years
70176,24-26 years,NA
70178,3-5 years,0-2 years
70181,6-8 years,6-8 years
70183,3-5 years,NA
70186,15-17 years,3-5 years
70187,3-5 years,3-5 years
70188,18-20 years,9-11 years
70189,12-14 years,12-14 years
70190,3-5 years,0-2 years
70191,0-2 years,0-2 years
70192,3-5 years,0-2 years
70194,9-11 years,3-5 years
70195,3-5 years,3-5 years
70197,18-20 years,9-11 years
70199,15-17 years,15-17 years
70200,9-11 years,9-11 years
70201,9-11 years,NA
70202,15-17 years,12-14 years
70203,9-11 years,9-11 years
70204,3-5 years,3-5 years
70205,3-5 years,0-2 years
70209,0-2 years,NA
70211,15-17 years,15-17 years
70212,9-11 years,6-8 years
70213,12-14 years,12-14 years
70214,9-11 years,3-5 years
70215,6-8 years,0-2 years
70216,12-14 years,6-8 years
70217,9-11 years,3-5 years
70218,3-5 years,3-5 years
70220,3-5 years,0-2 years
70224,30 or more years,18-20 years
70227,3-5 years,3-5 years
70230,3-5 years,0-2 years
70231,6-8 years,3-5 years
70232,9-11 years,6-8 years
70233,3-5 years,3-5 years
70235,3-5 years,3-5 years
70237,12-14 years,NA
70238,15-17 years,12-14 years
70239,12-14 years,9-11 years
70240,30 or more years,6-8 years
70241,3-5 years,3-5 years
70242,6-8 years,6-8 years
70243,30 or more years,15-17 years
70244,9-11 years,0-2 years
70245,6-8 years,3-5 years
70246,6-8 years,6-8 years
70247,0-2 years,0-2 years
70248,6-8 years,NA
70249,3-5 years,3-5 years
70251,12-14 years,6-8 years
70253,3-5 years,NA
70254,12-14 years,6-8 years
70256,18-20 years,18-20 years
70258,15-17 years,6-8 years
70259,0-2 years,0-2 years
70261,9-11 years,3-5 years
70264,12-14 years,NA
70265,6-8 years,0-2 years
70266,3-5 years,NA
70269,3-5 years,3-5 years
70272,15-17 years,3-5 years
70274,6-8 years,NA
70275,3-5 years,0-2 years
70276,3-5 years,NA
70277,3-5 years,0-2 years
70278,9-11 years,0-2 years
70279,6-8 years,NA
70281,18-20 years,12-14 years
70283,12-14 years,12-14 years
70284,0-2 years,NA
70285,0-2 years,NA
70286,27-29 years,12-14 years
70288,18-20 years,9-11 years
70290,0-2 years,0-2 years
70292,9-11 years,0-2 years
70293,3-5 years,3-5 years
70295,6-8 years,3-5 years
70297,9-11 years,3-5 years
70298,15-17 years,12-14 years
70300,3-5 years,3-5 years
70303,0-2 years,0-2 years
70304,3-5 years,0-2 years
70305,3-5 years,3-5 years
70307,18-20 years,12-14 years
70308,12-14 years,12-14 years
70309,18-20 years,18-20 years
70310,3-5 years,0-2 years
70312,18-20 years,15-17 years
70313,9-11 years,6-8 years
70314,0-2 years,0-2 years
70315,6-8 years,3-5 years
70316,21-23 years,18-20 years
70319,12-14 years,6-8 years
70322,3-5 years,3-5 years
70324,9-11 years,6-8 years
70325,30 or more years,12-14 years
70326,6-8 years,6-8 years
70327,3-5 years,3-5 years
70328,6-8 years,NA
70329,0-2 years,0-2 years
70330,15-17 years,12-14 years
70331,3-5 years,3-5 years
70332,3-5 years,0-2 years
70334,3-5 years,0-2 years
70335,15-17 years,15-17 years
70336,3-5 years,NA
70338,6-8 years,6-8 years
70340,24-26 years,18-20 years
70341,3-5 years,0-2 years
70342,0-2 years,0-2 years
70343,3-5 years,3-5 years
70344,21-23 years,18-20 years
70345,15-17 years,9-11 years
70347,6-8 years,0-2 years
70349,3-5 years,3-5 years
70351,3-5 years,NA
70352,9-11 years,6-8 years
70353,18-20 years,9-11 years
70354,12-14 years,3-5 years
70355,6-8 years,3-5 years
70356,18-20 years,15-17 years
70358,18-20 years,18-20 years
70359,6-8 years,3-5 years
70360,3-5 years,3-5 years
70361,18-20 years,NA
70362,3-5 years,0-2 years
70363,18-20 years,NA
70364,3-5 years,3-5 years
70365,6-8 years,6-8 years
70366,9-11 years,9-11 years
70368,0-2 years,0-2 years
70370,18-20 years,15-17 years
70372,0-2 years,0-2 years
70373,15-17 years,6-8 years
70375,12-14 years,6-8 years
70377,9-11 years,3-5 years
70378,12-14 years,6-8 years
70380,12-14 years,6-8 years
70381,18-20 years,12-14 years
70385,3-5 years,0-2 years
70386,0-2 years,6-8 years
70388,12-14 years,NA
70392,3-5 years,3-5 years
70393,15-17 years,15-17 years
70394,9-11 years,9-11 years
70395,12-14 years,9-11 years
70398,15-17 years,6-8 years
70399,9-11 years,3-5 years
70400,15-17 years,3-5 years
70401,0-2 years,0-2 years
70403,6-8 years,3-5 years
70404,12-14 years,6-8 years
70405,6-8 years,3-5 years
70406,15-17 years,6-8 years
70407,6-8 years,3-5 years
70408,9-11 years,3-5 years
70409,3-5 years,3-5 years
70411,6-8 years,6-8 years
70413,9-11 years,9-11 years
70414,3-5 years,NA
70415,6-8 years,3-5 years
70416,9-11 years,6-8 years
70419,3-5 years,NA
70420,6-8 years,3-5 years
70421,15-17 years,6-8 years
70422,3-5 years,0-2 years
70423,3-5 years,3-5 years
70424,9-11 years,6-8 years
70426,3-5 years,0-2 years
70427,3-5 years,3-5 years
70428,24-26 years,24-26 years
70429,0-2 years,0-2 years
70430,0-2 years,NA
70431,30 or more years,30 or more years
70433,6-8 years,0-2 years
70434,18-20 years,NA
70435,9-11 years,9-11 years
70437,0-2 years,0-2 years
70438,12-14 years,9-11 years
70444,6-8 years,6-8 years
70445,6-8 years,3-5 years
70450,3-5 years,0-2 years
70451,15-17 years,6-8 years
70452,12-14 years,3-5 years
70453,3-5 years,3-5 years
70455,6-8 years,3-5 years
70456,9-11 years,9-11 years
70458,6-8 years,6-8 years
70459,15-17 years,12-14 years
70460,6-8 years,3-5 years
70461,3-5 years,NA
70462,9-11 years,9-11 years
70464,0-2 years,0-2 years
70466,6-8 years,0-2 years
70468,3-5 years,3-5 years
70469,24-26 years,9-11 years
70470,6-8 years,3-5 years
70473,9-11 years,6-8 years
70475,3-5 years,NA
70477,3-5 years,0-2 years
70479,6-8 years,0-2 years
70481,6-8 years,3-5 years
70482,15-17 years,3-5 years
70483,3-5 years,0-2 years
70484,6-8 years,6-8 years
70485,3-5 years,NA
70487,12-14 years,9-11 years
70488,3-5 years,0-2 years
70489,9-11 years,3-5 years
70490,21-23 years,21-23 years
70492,12-14 years,NA
70493,12-14 years,9-11 years
70494,12-14 years,NA
70495,6-8 years,3-5 years
70496,0-2 years,0-2 years
70497,18-20 years,18-20 years
70499,15-17 years,9-11 years
70501,9-11 years,6-8 years
70502,18-20 years,9-11 years
70503,18-20 years,18-20 years
70504,0-2 years,0-2 years
70505,15-17 years,15-17 years
70506,15-17 years,9-11 years
70507,6-8 years,NA
70508,6-8 years,3-5 years
70509,3-5 years,3-5 years
70510,3-5 years,3-5 years
70511,18-20 years,NA
70512,3-5 years,0-2 years
70513,3-5 years,0-2 years
70514,3-5 years,3-5 years
70515,12-14 years,3-5 years
70516,18-20 years,NA
70517,15-17 years,15-17 years
70519,15-17 years,12-14 years
70520,0-2 years,0-2 years
70521,0-2 years,0-2 years
70523,6-8 years,3-5 years
70524,15-17 years,6-8 years
70526,9-11 years,9-11 years
70527,3-5 years,0-2 years
70528,21-23 years,15-17 years
70529,3-5 years,NA
70530,18-20 years,6-8 years
70531,6-8 years,NA
70534,9-11 years,6-8 years
70535,27-29 years,18-20 years
70537,30 or more years,27-29 years
70538,12-14 years,6-8 years
70539,9-11 years,0-2 years
70540,9-11 years,0-2 years
70541,24-26 years,21-23 years
70545,3-5 years,NA
70546,21-23 years,3-5 years
70547,15-17 years,NA
70548,15-17 years,12-14 years
70549,6-8 years,6-8 years
70550,18-20 years,NA
70553,6-8 years,3-5 years
70554,15-17 years,12-14 years
70555,6-8 years,3-5 years
70558,15-17 years,NA
70559,6-8 years,NA
70560,3-5 years,0-2 years
70561,0-2 years,0-2 years
70563,15-17 years,12-14 years
70564,3-5 years,3-5 years
70565,21-23 years,18-20 years
70567,9-11 years,3-5 years
70568,6-8 years,6-8 years
70571,12-14 years,9-11 years
70572,12-14 years,9-11 years
70573,21-23 years,21-23 years
70574,12-14 years,12-14 years
70575,15-17 years,12-14 years
70577,6-8 years,3-5 years
70578,3-5 years,0-2 years
70580,18-20 years,6-8 years
70581,12-14 years,6-8 years
70582,0-2 years,0-2 years
70583,9-11 years,6-8 years
70584,3-5 years,NA
70585,3-5 years,NA
70586,3-5 years,3-5 years
70587,3-5 years,3-5 years
70588,27-29 years,NA
70590,12-14 years,9-11 years
70592,3-5 years,NA
70593,15-17 years,6-8 years
70594,15-17 years,9-11 years
70595,9-11 years,9-11 years
70596,9-11 years,3-5 years
70598,6-8 years,6-8 years
70599,3-5 years,NA
70600,6-8 years,6-8 years
70601,6-8 years,3-5 years
70602,12-14 years,6-8 years
70603,3-5 years,3-5 years
70606,12-14 years,12-14 years
70607,24-26 years,21-23 years
70608,15-17 years,12-14 years
70609,6-8 years,3-5 years
70611,6-8 years,0-2 years
70613,9-11 years,3-5 years
70615,3-5 years,3-5 years
70616,18-20 years,NA
70617,3-5 years,3-5 years
70624,3-5 years,NA
70625,3-5 years,3-5 years
70626,3-5 years,0-2 years
70627,6-8 years,3-5 years
70629,3-5 years,0-2 years
70633,18-20 years,6-8 years
70634,6-8 years,3-5 years
70635,3-5 years,0-2 years
70636,21-23 years,18-20 years
70637,3-5 years,3-5 years
70640,6-8 years,0-2 years
70641,3-5 years,0-2 years
70642,3-5 years,0-2 years
70643,3-5 years,0-2 years
70644,6-8 years,6-8 years
70645,3-5 years,3-5 years
70648,6-8 years,0-2 years
70649,6-8 years,3-5 years
70650,9-11 years,3-5 years
70653,18-20 years,18-20 years
70654,0-2 years,0-2 years
70655,3-5 years,3-5 years
70657,3-5 years,0-2 years
70658,6-8 years,0-2 years
70659,12-14 years,3-5 years
70660,3-5 years,0-2 years
70661,3-5 years,0-2 years
70662,0-2 years,0-2 years
70664,15-17 years,15-17 years
70665,0-2 years,0-2 years
70667,6-8 years,3-5 years
70668,9-11 years,9-11 years
70670,3-5 years,NA
70671,9-11 years,6-8 years
70673,0-2 years,NA
70674,24-26 years,24-26 years
70676,3-5 years,3-5 years
70677,9-11 years,3-5 years
70680,6-8 years,6-8 years
70681,18-20 years,NA
70682,3-5 years,3-5 years
70683,9-11 years,NA
70685,21-23 years,21-23 years
70686,6-8 years,6-8 years
70687,0-2 years,NA
70688,12-14 years,9-11 years
70689,24-26 years,18-20 years
70690,9-11 years,NA
70691,24-26 years,24-26 years
70692,3-5 years,0-2 years
70693,3-5 years,3-5 years
70694,3-5 years,0-2 years
70698,6-8 years,3-5 years
70700,9-11 years,3-5 years
70701,12-14 years,9-11 years
70702,9-11 years,3-5 years
70706,3-5 years,3-5 years
70707,12-14 years,9-11 years
70708,9-11 years,6-8 years
70709,30 or more years,30 or more years
70712,6-8 years,6-8 years
70713,0-2 years,0-2 years
70714,3-5 years,0-2 years
70715,12-14 years,9-11 years
70716,18-20 years,12-14 years
70718,24-26 years,12-14 years
70719,9-11 years,NA
70720,3-5 years,0-2 years
70722,15-17 years,NA
70723,15-17 years,6-8 years
70724,9-11 years,0-2 years
70725,9-11 years,3-5 years
70726,0-2 years,NA
70727,6-8 years,0-2 years
70728,3-5 years,3-5 years
